Title,Date,Title_Cleaned_For_API,tmdb_id,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_genres,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_media_type,tmdb_release_date,tmdb_runtime_minutes
Sexo/Vida: Temporada 2: Georgia en mi mente,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
Sexo/Vida: Temporada 2: Bienvenida a Nueva York,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
Sexo/Vida: Temporada 1: Este debe ser el lugar,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
La gloria: Episodio 11,2023-12-22,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
Sexo/Vida: Temporada 1: Sábado por la noche en un pequeño pueblo,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
La gloria: Episodio 10,2023-12-21,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
La gloria: Episodio 9,2023-12-21,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
La gloria: Episodio 8,2023-12-20,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
La gloria: Episodio 7,2023-12-20,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
La gloria: Episodio 6,2023-12-20,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
Obsesión: Miniserie: Episodio 4,2023-12-20,Obsesión,203505.0,Scandal: Story of an Obsession,"Escándalo, relato de una obsesión","Inés is a 42-year-old woman who, when times start to get tough, attempts to drown herself. She is saved by Hugo, a teenage boy who then becomes obsessed with her. A forbidden romance develops between the two, whose consequences end up affecting all those around them.",Drama,7.2736,4.5,7.0,tv,2023-01-11,0.0
Obsesión: Miniserie: Episodio 3,2023-12-20,Obsesión,203505.0,Scandal: Story of an Obsession,"Escándalo, relato de una obsesión","Inés is a 42-year-old woman who, when times start to get tough, attempts to drown herself. She is saved by Hugo, a teenage boy who then becomes obsessed with her. A forbidden romance develops between the two, whose consequences end up affecting all those around them.",Drama,7.2736,4.5,7.0,tv,2023-01-11,0.0
